sid,surveyls_title,id,vars,vals,vars_old
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,1,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,2,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,3,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,4,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,5,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,6,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,7,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,8,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,9,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,10,tpage,6,lastpage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,1,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,2,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,3,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,4,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,5,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,6,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,7,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,8,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,9,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,10,rtlanguage,de,startlanguage
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,1,d,1440250481,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,2,d,1991639343,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,3,d,1327331583,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,4,d,1095599110,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,5,d,1595537486,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,6,d,1449546453,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,7,d,1639902543,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,8,d,1932106724,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,9,d,1450964550,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,10,d,1518709263,seed
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,1,B131W124E,4,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,2,B131W124E,6,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,3,B131W124E,3,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,4,B131W124E,3,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,5,B131W124E,3,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,6,B131W124E,5,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,7,B131W124E,4,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,8,B131W124E,3,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,9,B131W124E,6,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,10,B131W124E,6,E01[B131W124E]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,1,B132a,1,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,2,B132a,3,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,3,B132a,4,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,4,B132a,6,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,5,B132a,1,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,6,B132a,1,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,7,B132a,2,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,8,B132a,6,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,9,B132a,6,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,10,B132a,1,E01[B132a]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,1,B132c,5,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,2,B132c,6,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,3,B132c,6,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,4,B132c,2,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,5,B132c,3,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,6,B132c,4,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,7,B132c,5,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,8,B132c,2,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,9,B132c,3,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,10,B132c,4,E01[B132c]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,1,B133b,2,E01[B133b]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,2,B133b,5,E01[B133b]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,3,B133b,6,E01[B133b]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,4,B133b,6,E01[B133b]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,5,B133b,4,E01[B133b]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,6,B133b,5,E01[B133b]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,7,B133b,1,E01[B133b]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,8,B133b,2,E01[B133b]
252356,0001_202425_bfr_allg_gy_elt_00_2022_p1,9,B133b,3,E01[B133b]
