sart,pckg,survey,surveyls_title,template,rpt,rpt_overall,surveyID,bfr_grp,frml_bfr_grp
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit Videos,bfr,master_01_bfr_allg_gm_elt_00_2022_v4,tmpl_bfr_allg_gm_elt_00_2022_p1,rpt_elt_p1,gm_p1,197865,Elt,elt_00
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule,bfr,master_01_bfr_allg_gm_elt_00_2022_v4,tmpl_bfr_allg_gm_elt_00_2022_p3,rpt_elt_p1,gm_p3,197865,Elt,elt_00
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit Videos,bfr,master_03_bfr_allg_gm_leh_00_2022_v4,tmpl_bfr_allg_gm_leh_00_2022_p1,rpt_leh_p1,gm_p1,866667,LK,leh_00
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule,bfr,master_03_bfr_allg_gm_leh_00_2022_v4,tmpl_bfr_allg_gm_leh_00_2022_p3,rpt_leh_p1,gm_p3,866667,LK,leh_00
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit Videos und offenem Ganztag,bfr,master_03_bfr_allg_gm_leh_00_2022_v4,tmpl_bfr_allg_gm_leh_00_2022_p2,rpt_leh_p2,gm_p2,866667,LK,leh_00
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit offenem Ganztag,bfr,master_03_bfr_allg_gm_leh_00_2022_v4,tmpl_bfr_allg_gm_leh_00_2022_p4,rpt_leh_p2,gm_p4,866667,LK,leh_00
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit Videos und offenem Ganztag,bfr,master_02_bfr_allg_gm_elt_01_2022_v4,tmpl_bfr_allg_gm_elt_01_2022_p2,rpt_elt_p2,gm_p2,943467,Elt Ganztag,elt_01
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit offenem Ganztag,bfr,master_02_bfr_allg_gm_elt_01_2022_v4,tmpl_bfr_allg_gm_elt_01_2022_p4,rpt_elt_p2,gm_p4,943467,Elt Ganztag,elt_01
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit Videos und offenem Ganztag,bfr,master_08_bfr_allg_gs_sus_02_2022_v4,tmpl_bfr_allg_gm_sus_02_2022_p2,rpt_sus_gm_p2,gm_p2,956526,SuS Ganztag Primarst.,sus_02
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit offenem Ganztag,bfr,master_08_bfr_allg_gs_sus_02_2022_v4,tmpl_bfr_allg_gm_sus_02_2022_p4,rpt_sus_gm_p2,gm_p4,956526,SuS Ganztag Primarst.,sus_02
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit Videos und offenem Ganztag,bfr,master_16_bfr_allg_ms_sus_03_2022_v4,tmpl_bfr_allg_gm_sus_03_2022_p2,rpt_sus_gm_p2,gm_p2,778471,SuS Ganztag Sekundarst.,sus_03
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit offenem Ganztag,bfr,master_16_bfr_allg_ms_sus_03_2022_v4,tmpl_bfr_allg_gm_sus_03_2022_p4,rpt_sus_gm_p2,gm_p4,778471,SuS Ganztag Sekundarst.,sus_03
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit Videos,bfr,master_07_bfr_allg_gs_sus_00_2022_v4,tmpl_bfr_allg_gm_sus_06_2022_p1,rpt_sus_gm_p1,gm_p1,386673,SuS GS,sus_06
kombinierte Grund- und Mittelschule,Fragebogenpaket  Grund-Mittelschule mit Videos und offenem Ganztag,bfr,master_07_bfr_allg_gs_sus_00_2022_v4,tmpl_bfr_allg_gm_sus_06_2022_p2,rpt_sus_gm_p2,gm_p2,386673,SuS GS,sus_06
Grundschule,Fragebogenpaket Grundschule mit Videos,bfr,master_07_bfr_allg_gs_sus_00_2022_v4,tmpl_bfr_allg_gs_sus_00_2022_p1,rpt_sus_gs_p1,gs_p1,386673,SuS,sus_00
Grundschule,Fragebogenpaket Grundschule mit Videos und offenem Ganztag,bfr,master_07_bfr_allg_gs_sus_00_2022_v4,tmpl_bfr_allg_gs_sus_00_2022_p2,rpt_sus_gs_p2,gs_p2,386673,SuS,sus_00
kombinierte Grund- und Mittelschule,Fragebogenpaket  Grund-Mittelschule mit Videos,bfr,master_15_bfr_allg_ms_sus_00_2022_v4,tmpl_bfr_allg_gm_sus_07_2022_p1,rpt_sus_gm_p1,gm_p1,794774,SuS MS,sus_07
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule,bfr,master_15_bfr_allg_ms_sus_00_2022_v4,tmpl_bfr_allg_gm_sus_07_2022_p3,rpt_sus_gm_p1,gm_p3,794774,SuS MS,sus_07
kombinierte Grund- und Mittelschule,Fragebogenpaket  Grund-Mittelschule mit Videos und offenem Ganztag,bfr,master_15_bfr_allg_ms_sus_00_2022_v4,tmpl_bfr_allg_gm_sus_07_2022_p2,rpt_sus_gm_p2,gm_p2,794774,SuS MS,sus_07
kombinierte Grund- und Mittelschule,Fragebogenpaket Grund-Mittelschule mit offenem Ganztag,bfr,master_15_bfr_allg_ms_sus_00_2022_v4,tmpl_bfr_allg_gm_sus_07_2022_p4,rpt_sus_gm_p2,gm_p4,794774,SuS MS,sus_07
Grundschule,Fragebogenpaket Grundschule mit Videos,bfr,master_04_bfr_allg_gs_elt_00_2022_v4,tmpl_bfr_allg_gs_elt_00_2022_p1,rpt_elt_p1,gs_p1,383484,Elt,elt_00
