report,vars,plot,label,label_short,sets,type
rpt_ubb_gm_p1,A11,A1,"<span style=""font-size:16px;""><strong>A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.</strong></span>",A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.,set04,ubb
rpt_ubb_gs_p1,A11,A1,"<span style=""font-size:16px;""><strong>A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.</strong></span>",A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.,set04,ubb
rpt_ubb_ms_p1,A11,A1,"<span style=""font-size:16px;""><strong>A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.</strong></span>",A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.,set04,ubb
rpt_ubb_p1,A11,A1,"<span style=""font-size:16px;""><strong>A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.</strong></span>",A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.,set04,ubb
rpt_ubb_fz_p1,A11,A1,"<span style=""font-size:16px;""><strong>A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.</strong></span>",A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.,set04,ubb
rpt_ubb_fb_p1,A11,A1,"<span style=""font-size:16px;""><strong>A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.</strong></span>",A1.1 Der Unterricht wird durch Störungen nicht beeinträchtigt.,set04,ubb
rpt_ubb_gm_p1,A112a,A1a,NA,A1.1.2a  LK achtet konsequent auf die Einhaltung von Regeln.,set05,ubb
rpt_ubb_p1,A112a,A1a,NA,A1.1.2a  LK achtet konsequent auf die Einhaltung von Regeln.,set05,ubb
rpt_ubb_gs_p1,A112a,A1a,NA,A1.1.2a  LK achtet konsequent auf die Einhaltung von Regeln.,set05,ubb
rpt_ubb_ms_p1,A112a,A1a,NA,A1.1.2a  LK achtet konsequent auf die Einhaltung von Regeln.,set05,ubb
rpt_ubb_fz_p1,A112a,A1a,NA,A1.1.2a  LK achtet konsequent auf die Einhaltung von Regeln.,set05,ubb
rpt_ubb_fb_p1,A112a,A1a,NA,A1.1.2a  LK achtet konsequent auf die Einhaltung von Regeln.,set05,ubb
rpt_ubb_gm_p1,A112b,A1a,NA,A1.1.2b Die SuS beachten die vereinbarten Regeln.,set05,ubb
rpt_ubb_gs_p1,A112b,A1a,NA,A1.1.2b Die SuS beachten die vereinbarten Regeln.,set05,ubb
rpt_ubb_ms_p1,A112b,A1a,NA,A1.1.2b Die SuS beachten die vereinbarten Regeln.,set05,ubb
rpt_ubb_fz_p1,A112b,A1a,NA,A1.1.2b Die SuS beachten die vereinbarten Regeln.,set05,ubb
rpt_ubb_fb_p1,A112b,A1a,NA,A1.1.2b Die SuS beachten die vereinbarten Regeln.,set05,ubb
rpt_ubb_p1,A112b,A1a,NA,A1.1.2b SuS beachten die vereinbarten Regeln.,set05,ubb
rpt_ubb_gm_p1,A113,A1a,NA,A1.1.3 LK geht angemessen m. Störungen um (Blick auf Gruppe und  d. Einzelnen),set05,ubb
rpt_ubb_fb_p1,A113,A1a,NA,A1.1.3  LK geht angemessen mit Störungen um,set05,ubb
rpt_ubb_gs_p1,A113,A1a,NA,A1.1.3 LK geht angemessen m. Störungen um (Blick auf Gruppe und  d. Einzelnen),set05,ubb
rpt_ubb_ms_p1,A113,A1a,NA,A1.1.3 LK geht angemessen m. Störungen um (Blick auf Gruppe und  d. Einzelnen),set05,ubb
rpt_ubb_fz_p1,A113,A1a,NA,A1.1.3 LK geht angemessen m. Störungen um (Blick auf Gruppe und  d. Einzelnen),set05,ubb
rpt_ubb_p1,A113,A1a,NA,A1.1.3 LK geht angemessen mit Störungen um,set05,ubb
rpt_ubb_gm_p1,A114,A1a,NA,A1.1.4 SuS reagieren auf Signale oder Hinweise der LK,set05,ubb
rpt_ubb_gs_p1,A114,A1a,NA,A1.1.4 SuS reagieren auf Signale oder Hinweise der LK,set05,ubb
rpt_ubb_p1,A114,A1a,NA,A1.1.4 SuS reagieren auf Signale oder Hinweise der LK,set05,ubb
rpt_ubb_ms_p1,A114,A1a,NA,A1.1.4 SuS reagieren auf Signale oder Hinweise der LK,set05,ubb
rpt_ubb_fz_p1,A114,A1a,NA,A1.1.4 SuS reagieren auf Signale oder Hinweise der LK,set05,ubb
rpt_ubb_fb_p1,A114,A1a,NA,A1.1.4 SuS reagieren auf Signale oder Hinweise der LK,set05,ubb
rpt_ubb_gm_p1,A12,A1,"<span style=""font-size:16px;""><strong>A1.2 Die Lernzeit wird effizient genutzt.</strong></span>",A1.2 Die Lernzeit wird effizient genutzt.,set04,ubb
rpt_ubb_gs_p1,A12,A1,"<span style=""font-size:16px;""><strong>A1.2 Die Lernzeit wird effizient genutzt.</strong></span>",A1.2 Die Lernzeit wird effizient genutzt.,set04,ubb
rpt_ubb_ms_p1,A12,A1,"<span style=""font-size:16px;""><strong>A1.2 Die Lernzeit wird effizient genutzt.</strong></span>",A1.2 Die Lernzeit wird effizient genutzt.,set04,ubb
