SNR,SNAME,SART,REGBEZ,KRSREST,REGBEZL,ABKZ,MBBEZ,MBABKZ,KRSL,KRSTYP
0001,Leibniz-Gymnasium Altdorf,Gymnasium,5,574,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,LK Nürnberger Land,Landkreis
0002,Maria-Ward-Gymnasium Altötting der Maria-Ward-Schulstiftung Passau,Gymnasium,1,171,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Altötting,Landkreis
0003,Spessart-Gymnasium Alzenau,Gymnasium,6,671,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Aschaffenburg,Landkreis
0004,Erasmus-Gymnasium Amberg,Gymnasium,3,361,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,Stadt Amberg,Stadtkreis
0005,Gregor-Mendel-Gymnasium Amberg,Gymnasium,3,361,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,Stadt Amberg,Stadtkreis
0006,Max-Reger-Gymnasium Amberg,Gymnasium,3,361,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,Stadt Amberg,Stadtkreis
0007,Dr.-Johanna-Decker-Gymnasium Amberg der Schulstiftung der Diözese Regensburg,Gymnasium,3,361,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,Stadt Amberg,Stadtkreis
0008,Deutschherren-Gymnasium Aichach,Gymnasium,7,771,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Aichach-Friedberg,Landkreis
0009,Karl-Ernst-Gymnasium Amorbach,Gymnasium,6,676,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Miltenberg,Landkreis
0010,Gymnasium Carolinum Ansbach,Gymnasium,5,561,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Ansbach,Stadtkreis
0011,Platen-Gymnasium Ansbach,Gymnasium,5,561,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Ansbach,Stadtkreis
0012,Theresien-Gymnasium Ansbach,Gymnasium,5,561,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Ansbach,Stadtkreis
0013,Kronberg-Gymnasium Aschaffenburg,Gymnasium,6,661,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,Stadt Aschaffenburg,Stadtkreis
0014,Friedrich-Dessauer-Gymnasium Aschaffenburg,Gymnasium,6,661,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,Stadt Aschaffenburg,Stadtkreis
0015,Karl-Theodor-von-Dalberg-Gymnasium Aschaffenburg,Gymnasium,6,661,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,Stadt Aschaffenburg,Stadtkreis
0016,Maria-Ward-Schule Mädchengymnasium der Maria-Ward-Stiftung Aschaffenburg,Gymnasium,6,661,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,Stadt Aschaffenburg,Stadtkreis
0017,Gymnasium bei St.Anna Augsburg,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0018,Gymnasium bei St.Stephan Augsburg,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0019,Peutinger-Gymnasium Augsburg,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0020,Holbein-Gymnasium Augsburg,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0021,Städtisches Maria-Theresia-Gymnasium Augsburg,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0022,Städtisches Jakob-Fugger-Gymnasium Augsburg,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0023,Maria-Ward-Gymnasium Augsburg d. Schulwerks d. Diözese Augsburg,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0024,A.B. von Stettensches Institut Augsburg -Gymnasium-,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0025,Franz-Miltenberger-Gymnasium Bad Brückenau,Gymnasium,6,672,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Bad Kissingen,Landkreis
0026,Jack-Steinberger-Gymnasium Bad Kissingen,Gymnasium,6,672,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Bad Kissingen,Landkreis
0027,Rhön-Gymnasium Bad Neustadt,Gymnasium,6,673,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Rhön-Grabfeld,Landkreis
0028,Karlsgymnasium Bad Reichenhall,Gymnasium,1,172,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Berchtesgadener Land,Landkreis
0029,Gabriel-von-Seidl-Gymnasium Bad Tölz,Gymnasium,1,173,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Bad Tölz-Wolfratshausen,Landkreis
0030,Georg-Wilhelm-Steller-Gymnasium Bad Windsheim,Gymnasium,5,575,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,LK Neustadt a.d. Aisch-Bad Windsheim,Landkreis
0031,Kaiser-Heinrich-Gymnasium Bamberg,Gymnasium,4,461,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bamberg,Stadtkreis
0032,Franz-Ludwig-Gymnasium Bamberg,Gymnasium,4,461,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bamberg,Stadtkreis
0033,Clavius-Gymnasium Bamberg,Gymnasium,4,461,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bamberg,Stadtkreis
0034,Dientzenhofer-Gymnasium Bamberg,Gymnasium,4,461,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bamberg,Stadtkreis
0035,E.T.A.Hoffmann-Gymnasium Bamberg,Gymnasium,4,461,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bamberg,Stadtkreis
0036,Städtisches Eichendorff-Gymnasium Bamberg,Gymnasium,4,461,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bamberg,Stadtkreis
0037,Maria-Ward-Gymnasium Bamberg der Erzdiözese Bamberg,Gymnasium,4,461,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bamberg,Stadtkreis
0038,Theresianum Bamberg - Spätberufenengymnasium der Caritas-Schulen gGmbH,Gymnasium,4,461,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bamberg,Stadtkreis
0039,Gymnasium Christian-Ernestinum Bayreuth,Gymnasium,4,462,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bayreuth,Stadtkreis
0040,Graf-Münster-Gymnasium Bayreuth,Gymnasium,4,462,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bayreuth,Stadtkreis
0041,Markgräfin-Wilhelmine-Gymnasium Bayreuth,Gymnasium,4,462,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bayreuth,Stadtkreis
0042,Richard-Wagner-Gymnasium Bayreuth,Gymnasium,4,462,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bayreuth,Stadtkreis
0043,Städt. Wirtschaftswissenschaftl. Gymnasium Bayreuth,Gymnasium,4,462,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Bayreuth,Stadtkreis
0044,Gymnasium Berchtesgaden,Gymnasium,1,172,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Berchtesgadener Land,Landkreis
0045,CJD Christophorusschulen Berchtesgaden - Gymnasium d.CJD in Schönau am Königssee,Gymnasium,1,172,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Berchtesgadener Land,Landkreis
0046,Gymnasium Burgkunstadt,Gymnasium,4,478,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,LK Lichtenfels,Landkreis
0047,Staatl. Gymnasium Lappersdorf,Gymnasium,3,375,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,LK Regensburg,Landkreis
0048,Kurfürst-Maximilian-Gymnasium Burghausen,Gymnasium,1,171,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Altötting,Landkreis
