stype,ganztag,type,surveys,rprtpckg,ubb,report_tmpl,video,timestamp
gm,FALSE,all,NA,NA,FALSE,gm_p1,FALSE,2025-01-29T07:49:28Z
gm,TRUE,all,NA,NA,FALSE,gm_p2,FALSE,2025-01-29T07:49:28Z
gm,FALSE,elt,tmpl_bfr_allg_gm_elt_00_2022_p1,tmpl_bfr_allg_gm_00_2022_p1,FALSE,rpt_elt_p1,FALSE,2025-01-29T07:49:28Z
gm,FALSE,elt,tmpl_bfr_allg_gm_elt_00_2022_p3,tmpl_bfr_allg_gm_00_2022_p1,FALSE,rpt_elt_p1,FALSE,2025-01-29T07:49:28Z
gm,TRUE,elt,tmpl_bfr_allg_gm_elt_01_2022_p2,tmpl_bfr_allg_gm_01_2022_p2,FALSE,rpt_elt_p2,FALSE,2025-01-29T07:49:28Z
gm,TRUE,elt,tmpl_bfr_allg_gm_elt_01_2022_p4,tmpl_bfr_allg_gm_01_2022_p2,FALSE,rpt_elt_p2,FALSE,2025-01-29T07:49:28Z
gm,FALSE,leh,tmpl_bfr_allg_gm_leh_00_2022_p1,tmpl_bfr_allg_gm_00_2022_p1,FALSE,rpt_leh_p1,FALSE,2025-01-29T07:49:28Z
gm,TRUE,leh,tmpl_bfr_allg_gm_leh_00_2022_p2,tmpl_bfr_allg_gm_00_2022_p2,FALSE,rpt_leh_p2,FALSE,2025-01-29T07:49:28Z
gm,FALSE,leh,tmpl_bfr_allg_gm_leh_00_2022_p3,tmpl_bfr_allg_gm_00_2022_p1,FALSE,rpt_leh_p1,FALSE,2025-01-29T07:49:28Z
gm,TRUE,leh,tmpl_bfr_allg_gm_leh_00_2022_p4,tmpl_bfr_allg_gm_00_2022_p2,FALSE,rpt_leh_p2,FALSE,2025-01-29T07:49:28Z
gm,TRUE,sus,tmpl_bfr_allg_gm_sus_02_2022_p2,tmpl_bfr_allg_gm_02_2022_p2,FALSE,rpt_sus_gm_p2,FALSE,2025-01-29T07:49:28Z
gm,TRUE,sus,tmpl_bfr_allg_gm_sus_02_2022_p4,tmpl_bfr_allg_gm_02_2022_p2,FALSE,rpt_sus_gm_p2,FALSE,2025-01-29T07:49:28Z
gm,TRUE,sus,tmpl_bfr_allg_gm_sus_03_2022_p2,tmpl_bfr_allg_gm_03_2022_p2,FALSE,rpt_sus_gm_p2,FALSE,2025-01-29T07:49:28Z
gm,TRUE,sus,tmpl_bfr_allg_gm_sus_03_2022_p4,tmpl_bfr_allg_gm_03_2022_p2,FALSE,rpt_sus_gm_p2,FALSE,2025-01-29T07:49:28Z
gm,FALSE,sus,tmpl_bfr_allg_gm_sus_06_2022_p1,tmpl_bfr_allg_gm_06_2022_p1,FALSE,rpt_sus_gm_p1,FALSE,2025-01-29T07:49:28Z
gm,TRUE,sus,tmpl_bfr_allg_gm_sus_06_2022_p2,tmpl_bfr_allg_gm_06_2022_p2,FALSE,rpt_sus_gm_p2,FALSE,2025-01-29T07:49:28Z
gm,FALSE,sus,tmpl_bfr_allg_gm_sus_06_2022_p3,tmpl_bfr_allg_gm_06_2022_p1,FALSE,rpt_sus_gm_p1,FALSE,2025-01-29T07:49:28Z
gm,TRUE,sus,tmpl_bfr_allg_gm_sus_06_2022_p4,tmpl_bfr_allg_gm_06_2022_p2,FALSE,rpt_sus_gm_p2,FALSE,2025-01-29T07:49:28Z
gs,FALSE,elt,tmpl_bfr_allg_gs_elt_00_2022_p1,tmpl_bfr_allg_gs_00_2022_p1,FALSE,rpt_elt_p1,FALSE,2025-01-29T07:49:28Z
gs,FALSE,leh,tmpl_bfr_allg_gs_leh_00_2022_p1,tmpl_bfr_allg_gs_00_2022_p1,FALSE,rpt_leh_gs_p1,FALSE,2025-01-29T07:49:28Z
gs,FALSE,sus,tmpl_bfr_allg_gs_sus_00_2022_p1,tmpl_bfr_allg_gs_00_2022_p1,FALSE,rpt_sus_gs_p1,FALSE,2025-01-29T07:49:28Z
gs,FALSE,sus,tmpl_bfr_allg_gs_sus_00_2022_p3,tmpl_bfr_allg_gs_00_2022_p1,FALSE,rpt_sus_gs_p1,FALSE,2025-01-29T07:49:28Z
gs,FALSE,elt,tmpl_bfr_allg_gs_elt_00_2022_p3,tmpl_bfr_allg_gs_00_2022_p1,FALSE,rpt_elt_p1,FALSE,2025-01-29T07:49:28Z
gs,FALSE,leh,tmpl_bfr_allg_gs_leh_00_2022_p3,tmpl_bfr_allg_gs_00_2022_p1,FALSE,rpt_leh_gs_p1,FALSE,2025-01-29T07:49:28Z
gs,TRUE,leh,tmpl_bfr_allg_gs_leh_00_2022_p2,tmpl_bfr_allg_gs_00_2022_p2,FALSE,rpt_leh_gs_p2,FALSE,2025-01-29T07:49:28Z
gs,TRUE,sus,tmpl_bfr_allg_gs_sus_00_2022_p2,tmpl_bfr_allg_gs_00_2022_p2,FALSE,rpt_sus_gs_p2,FALSE,2025-01-29T07:49:28Z
